time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
81160.0,-0.7724187133333335,1,1.236434494,25.00531414857143,,,,640.0,,
81920.0,-0.7724187133333335,2,1.236434494,25.00531414857143,2837.3,,,,720.0,
82760.0,-0.5442818333333334,3,1.2169062411428573,24.983567645714285,,,,320.0,,
83200.0,-0.5442818333333334,4,1.2169062411428573,24.983567645714285,0.0,0.0,,,,380.0
83700.0,-0.5442818333333334,-4,1.2169062411428573,24.983567645714285,,,4460.0,,,
88160.0,0.46149126000000007,3,1.160333872,25.93115234,,,,60.0,,
88340.0,0.46149126000000007,4,1.160333872,25.93115234,,1216.8,,,,660.0
89120.0,0.790229795,1,1.1553741864285714,26.196703225714284,,,,300.0,,
89540.0,0.790229795,2,1.1553741864285714,26.196703225714284,0.0,0.0,,,440.0,
90100.0,0.790229795,-2,1.1553741864285714,26.196703225714284,,,940.0,,,
91040.0,1.3002474666666666,1,1.16112629,26.545912608571427,,,,60.0,,
91220.0,1.3002474666666666,2,1.16112629,26.545912608571427,1666.4,,,,940.0,
92280.0,1.7237263333333332,3,1.167014411142857,26.817473,,,,440.0,,
92840.0,1.7237263333333332,4,1.167014411142857,26.817473,,1043.6,,,,780.0
93740.0,1.9801099166666667,1,1.1698711257142858,26.981294904285715,,,,440.0,,
94300.0,1.9801099166666667,2,1.1698711257142858,26.981294904285715,0.0,0.0,,,340.0,
94760.0,1.9801099166666667,-2,1.1698711257142858,26.981294904285715,,,500.0,,,
95260.0,2.1051395333333334,1,1.2506250994285715,27.121409554285712,,,,60.0,,
95440.0,2.1051395333333334,2,1.2506250994285715,27.121409554285712,108.7,,,,320.0,
95880.0,2.1797910333333337,3,1.254777431857143,27.190387725714285,,,,520.0,,
96520.0,2.1797910333333337,4,1.254777431857143,27.190387725714285,0.0,0.0,,,,280.0
96920.0,2.1797910333333337,-4,1.254777431857143,27.190387725714285,,,7820.0,,,
104740.0,1.5435602,3,1.2109904628571428,27.712526864285714,,,,60.0,,
104920.0,1.5435602,4,1.2109904628571428,27.712526864285714,,591.0,,,,440.0
105480.0,1.3412626666666667,1,1.2086986645714286,27.750030517142857,,,,400.0,,
106000.0,1.3412626666666667,2,1.2086986645714286,27.750030517142857,0.0,0.0,,,340.0,
106460.0,1.3412626666666667,-2,1.2086986645714286,27.750030517142857,,,2800.0,,,
109260.0,0.7199453,1,1.219382286,27.834246774285713,,,,60.0,,
109440.0,0.7199453,2,1.219382286,27.834246774285713,337.1,,,,500.0,
110060.0,0.5305823749999999,3,1.2418831585714285,27.882194520000002,,,,320.0,,
110500.0,0.5305823749999999,4,1.2418831585714285,27.882194520000002,0.0,0.0,,,,380.0
111000.0,0.5305823749999999,-4,1.2418831585714285,27.882194520000002,,,2240.0,,,
113240.0,0.0040996993333333315,3,1.2414976021428572,27.964978622857142,,,,60.0,,
113420.0,0.0040996993333333315,4,1.2414976021428572,27.964978622857142,,976.7,,,,400.0
113940.0,-0.14925850499999999,1,1.2631048815714285,27.96619497142857,,,,240.0,,
